"data_pesquisa,id_empresa,rede,endereco_completo,codigo_categoria,id_produto,descricao,preco_regular,preco_atacado,preco_atacado_qtd,preco_promocao,preco_fidelidade"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,8,888956,TOMATE LONGA VIDA -1 KG,6.99,0.00,0,0.00,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,8,888957,TOMATE RASTEIRO -1 KG,6.99,0.00,0,0.00,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,8,888960,VAGEM -1 KG,15.99,0.00,0,0.00,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,9,999991,CERVEJA ANTÁRTICA Lata -350 ML,3.39,0.00,0,0.00,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,9,999992,CERVEJA BOHEMIA Lata -350 ML,3.85,0.00,0,0.00,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,9,999993,CERVEJA BRAHMA Lata -350 ML,3.85,0.00,0,0.00,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,9,999994,CERVEJA BUDWEISER Lata -350 ML,4.25,0.00,0,0.00,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,9,999995,CERVEJA KAISER Lata -350 ML,2.98,0.00,0,0.00,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,9,999996,CERVEJA ORIGINAL Lata -350 ML,4.49,0.00,0,0.00,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,9,999997,CERVEJA SKOL Lata -350 ML,3.65,0.00,0,0.00,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,9,999998,REFRIGERANTE ( + ) BARATO Pet -2 LITRO,5.48,0.00,0,0.00,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,9,999999,REFRIGERANTE CINI Pet -2 LITRO,5.49,0.00,0,0.00,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,9,1000000,REFRIGERANTE COCA COLA Pet -2 LITRO,9.48,0.00,0,0.00,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,9,1000002,REFRIGERANTE PEPSI COLA Pet -2 LITRO,7.50,0.00,0,0.00,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,1,111123,AZEITONAS EM CONSERVA SACHÊ  -( + ) BARATO -120 GR,5.99,0.00,0,4.78,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,1,111124,BATATA FRITA ONDULADA  -( + ) BARATO -40 GR,3.48,0.00,0,0.00,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,1,111129,BISCOITO MARIA  -( + ) BARATO -400 GR,6.69,0.00,0,0.00,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,1,111145,FARINHA DE MANDIOCA TORRADA  -( + ) BARATO -1 KG,8.95,0.00,0,0.00,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,1,111179,VINAGRE DE ÁLCOOL 750ML -( + ) BARATO -750 ML,2.48,0.00,0,0.00,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,2,222235,FARINHA DE ARROZ -( + ) BARATO -1 KG,7.98,0.00,0,0.00,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,2,222225,FARINHA DE TRIGO INTEGRAL  -( + ) BARATO -1 KG,5.69,0.00,0,0.00,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,3,333339,OVOS ESPECIAIS CAIPIRAS VERMELHO -( + ) BARATO -1 DZ,8.98,0.00,0,0.00,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,6,666670,SHAMPOO  -( + ) BARATO -200 ML,14.98,0.00,0,0.00,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,7,777790,ESPONJA DUPLA FACE -( + ) BARATO -3 UN,8.49,0.00,0,0.00,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,7,777777,LIMPA VIDROS  -( + ) BARATO -500 ML,5.39,0.00,0,0.00,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,1,111181,DOCE DE FRUTAS -( + ) BARATO -400 GR,5.99,0.00,0,0.00,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,1,111154,FUBÁ AMARELO  -( + ) BARATO -1 KG,3.69,0.00,0,0.00,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,1,111182,PO PARA PUDIM -( + ) BARATO -50 GR,2.48,0.00,0,0.00,0.00"
